,sample_output,test_output,Random_forest,Linear_prediction
38,1.507950277854302,1.5079,1.509438476762421,1.5081876163276915
39,1.5042358239633256,1.5042,1.5039757698415253,1.5044811038206403
40,1.5021982523998265,1.5019999999999998,1.5026139022384233,1.5020816324650381
41,1.4995538870365601,1.5,1.4998562361456793,1.4998751232306544
42,1.4993361860594374,1.4995,1.4985821769308716,1.4990206412877027
43,1.5026155855708223,1.5030000000000001,1.4990838898116763,1.5022567343804125
44,1.5102228766930856,1.5099,1.5093130578393397,1.5095916386599724
45,1.512234326403475,1.5125,1.5100276018092595,1.5120914954132472
46,1.5122481323606094,1.5119,1.5128571445143708,1.51189280752084
47,1.5123147449850596,1.5127,1.5134252200601173,1.5131362018547092
48,1.514356990044323,1.5138,1.5139832646818179,1.5139152601732944
49,1.5121951465905634,1.5119999999999998,1.5129637427518692,1.5122547045721744
50,1.5107017372119953,1.5105,1.5106284364776514,1.5106490907165293
51,1.5106910747579239,1.5105,1.5104249337746323,1.5101176794524376
52,1.5165492948581363,1.5165,1.5171628623628883,1.5168784685338919
53,1.5159337879687762,1.5158,1.5155926062186005,1.516584638589907
54,1.512714250134656,1.5138,1.5137690951378147,1.5134035454503332
55,1.5138731265718808,1.5138,1.5138659298721313,1.5141636446024362
56,1.5132317008883176,1.5130000000000001,1.512901604046339,1.513088374948043
57,1.51179574854097,1.5119,1.5121587110010148,1.5117282127867524
58,1.5080997609450242,1.508,1.5081357836107623,1.5076467195431773
59,1.5084510252784507,1.5083,1.50933115074804,1.5084565408433859
60,1.518378004066311,1.5188,1.5184728144420134,1.518444361248899
61,1.518278743977892,1.5179,1.5182374914047685,1.5183647622725998
62,1.517033733300096,1.5169,1.5171028433235296,1.5169120794999484
63,1.514901745195852,1.5149,1.5139760689007276,1.5143247708584253
64,1.5139084202822155,1.5137,1.5141667026225811,1.5130794526449476
65,1.5123838693536336,1.5119999999999998,1.5128153098624713,1.5119594534299408
66,1.5076002389735799,1.507,1.5111618838202963,1.508619427997533
67,1.5011280262482278,1.501,1.5028065516564089,1.5016047161444162
68,1.5003149534610767,1.5002,1.4984936378628426,1.4994158107693378
69,1.5003752530790084,1.5002,1.4997930731364968,1.5009304458181445
70,1.5090048392974553,1.5091,1.5080942545004121,1.5093303465656076
71,1.511947979351514,1.5118,1.5127020698721667,1.512050571469504
72,1.5117744001635856,1.5115,1.5118119762060231,1.5113560919090245
73,1.5111129831470345,1.5114,1.5112793095555492,1.5113333953450505
74,1.500454556839564,1.5006,1.5016271543758883,1.5014699190761034
75,1.504981292701666,1.5049,1.5039125235037327,1.50539107489391
76,1.5017678588161378,1.5017,1.5016007182799032,1.5017719877324138
77,1.5019495995342607,1.5021,1.501724978642866,1.501687777545217
78,1.5020172750468344,1.5019999999999998,1.5013375365814483,1.5016410526259873
79,1.5011311308513344,1.501,1.5014827955153403,1.5007285106367503
80,1.5007971698007454,1.5007,1.5002835330267121,1.5003348056598638
81,1.4972064564579424,1.4973,1.496065957905838,1.4968409236426536
82,1.4985668529620215,1.4985,1.4979458174263427,1.4985968634392206
83,1.498935131055391,1.4989,1.4989020369455106,1.4991531514934335
84,1.500094042193101,1.5,1.4997510438292243,1.500316975954834
85,1.5064558153411332,1.5065,1.5058635868803156,1.5066009635011737
86,1.505007441731063,1.5048,1.505634480509725,1.5047400671429072
87,1.513002226782265,1.5130000000000001,1.5122778134570345,1.5131046591232602
88,1.5122321459750208,1.5121,1.5124496525845903,1.5118794390837733
89,1.5197130523513565,1.5197,1.5186801429463874,1.5195194895750914
90,1.5195678022281605,1.5192,1.5194494957196985,1.51933377547181
91,1.5189760339608498,1.5191,1.518970122670954,1.5192304072807614
92,1.518808330342315,1.5189,1.5177810156568454,1.5184839238318686
93,1.5184459485647637,1.5185,1.5184503214682612,1.518677091076884
94,1.5191707704992286,1.5190000000000001,1.5189992973937037,1.5187928162886832
95,1.5129761005125333,1.5132,1.5144752848903775,1.513692521341059
96,1.5136689254045725,1.5136,1.5143471475108246,1.512942408528093
97,1.5132380214778252,1.5131,1.5136293349223449,1.5131206222250198
98,1.516776284590214,1.5169,1.5162207054247656,1.5172083772159253
99,1.5172188930569548,1.5173,1.517310473293016,1.5174075477662567
100,1.5174021729179923,1.5173,1.5172385301199955,1.5173872982523475
101,1.511826860608839,1.5117,1.5123123241740477,1.5109239417034273
102,1.5138725705465186,1.5137,1.5135638869014554,1.5137701496387903
103,1.5136295817986019,1.5137,1.5137721220986922,1.51381384682833
104,1.5130477308034609,1.5130000000000001,1.5127083897614777,1.5129184109064822
105,1.5125870680421785,1.5126,1.5128755832330405,1.5123070958907787
106,1.5126402314929583,1.5127,1.5127835754060006,1.5131105353030447
107,1.5146083744369465,1.5146,1.5146407946446083,1.5144624941422675
108,1.5151319460286807,1.515,1.5144659126264017,1.5153161611779664
109,1.512190630387029,1.5123,1.513421707640981,1.5121230320910994
110,1.5100141564335183,1.5104,1.51098723676186,1.5100922040547315
111,1.5094437873196467,1.5095,1.5092257380199825,1.509665264133278
112,1.5072730615527405,1.5074,1.5069609062181064,1.5071040360163037
113,1.5081047504751315,1.508,1.5080442994308982,1.508002896644089
114,1.5123497293764907,1.5119999999999998,1.513485231765837,1.5119248724914227
115,1.5086573581096647,1.5084,1.5111099741720155,1.5083536592683826
116,1.508900354364786,1.5087,1.5083521929464982,1.5085658855642263
117,1.5080899253354116,1.5079,1.5066022122691156,1.5077940123993043
118,1.5087205393609613,1.5085,1.5075298898301008,1.508325532860968
119,1.5128948239770066,1.5127,1.5128179084796811,1.512453796658579
120,1.5160024391533937,1.5158,1.515593387976401,1.5162445417045687
121,1.514629044512334,1.5146,1.5144212555149783,1.5141031305211667
122,1.5125033784702182,1.5123,1.5122674639508507,1.5118913025035594
123,1.5165102118988452,1.5164,1.516204616311626,1.5164765388145183
124,1.5136488510947834,1.5135,1.5134025860360332,1.5133296827226017
125,1.5139941025891226,1.514,1.5134154867216323,1.5135379015374069
126,1.5112714947281753,1.5107,1.5120365805164193,1.5106155610083674
127,1.51452157308547,1.5144,1.5144723682725987,1.5144552486854677
128,1.5120972556519061,1.5119999999999998,1.511923206441866,1.5116622921451066
129,1.514314906691395,1.5141,1.5142670243167866,1.5141977037674819
130,1.5158476688735973,1.5158,1.515748001258177,1.5158515224139277
131,1.5160611420524235,1.516,1.5153628131044399,1.5163621211796139
132,1.515955603592283,1.516,1.5154786758473962,1.5161904791276042
133,1.5160392467083603,1.5161,1.5159206259467024,1.5160775960794721
134,1.5143265091119005,1.5141,1.5141588635564343,1.514245062218893
135,1.5139242283836825,1.5137,1.5147365244316346,1.513664884576488
136,1.5050032953478218,1.5048,1.5048443125426083,1.5048485126718019
137,1.5030684707484583,1.5029,1.5028703152024276,1.5026203879061226
138,1.4998270822139699,1.4998,1.4995850537105724,1.499661578182045
139,1.5029249234945476,1.5030000000000001,1.5027557215943355,1.5018374224565063
140,1.5036983724227027,1.5037,1.5032524215772187,1.503838716391388
141,1.501093633933906,1.5008,1.5011614436392555,1.5001592399458472
142,1.5005064087884388,1.5005,1.501543639457633,1.5007058927695338
143,1.498821532585344,1.4987,1.4993278546706512,1.4987221228330467
144,1.5007630740890132,1.5006,1.499640617206621,1.5005661531723176
145,1.4990730024965748,1.499,1.4994523199414813,1.4996092869806175
146,1.497678742747348,1.4979,1.496990117850262,1.4976913480459784
147,1.497149817139711,1.4971,1.4966908638913197,1.4970425456668321
148,1.4926823855655125,1.4924,1.4930816595584258,1.492418073899958
149,1.4928999850990243,1.493,1.492549265234065,1.4923320662601922
150,1.4985152786648266,1.4981,1.499369056458632,1.4984884402620677
151,1.4958329554906498,1.4956,1.496145539173182,1.4959109070151184
152,1.4967731744071375,1.4966,1.497578669534174,1.4966735011803989
153,1.4951391637402525,1.4949,1.4962103093893964,1.4946476946025227
154,1.4971389251007456,1.4969999999999999,1.496538694811551,1.4967406006435935
155,1.4975303233076989,1.4975,1.4976027766038043,1.4979305112174783
156,1.4978634128794228,1.4979,1.4978703083385774,1.497956033879805
157,1.497823671588264,1.4979,1.4978460399547995,1.4975279530881975
